"Card#","Title","Artist","Year","URL","Hashed Info","Youtube-Title","ISRC"
"321","Hate It Or Love It","The Game,50 Cent","2005.0","https://www.youtube.com/watch?v=BuMBmK5uksg","429e33dbb6e765488d26c21913cda23addd9bf8cb3479ef878baa8c8d3aa4d65","The Game, 50 Cent - Hate It Or Love It (Official Music Video)",""
"322","Liebe","Sido","2013.0","https://www.youtube.com/watch?v=WsmXm_XSMug","174a0ab4a060750a6590b81a1de573fd619c2afbb9d49be6e247fbe781a45e0e","Sido - Liebe",""
"323","Push It","Salt-N-Pepa","1987.0","https://www.youtube.com/watch?v=vCadcBR95oU","8f9da61db781b0acd0a35ce6bb71aeabe240b9affde9ce01e0d54da7a5edbd8d","Salt-N-Pepa - Push It (Official Music Video)",""
"324","Suga Suga","Baby Bash,Frankie J","2003.0","https://www.youtube.com/watch?v=6rgStv12dwA","9517f8c83a36ff72b6ab0e6e1ae503223e5332228b165a259bb85b7ced49996d","Baby Bash - Suga Suga (Official Music Video) ft. Frankie J",""
"325","2002","Sido,Apache 207","2019.0","https://www.youtube.com/watch?v=kUgjHsLE7Qs","b7b6d15ce80e099d18488c7eb1c973460668da4120eecadb230923afc02854c1","2002",""
"326","Strictly Business","EPMD","1988.0","https://www.youtube.com/watch?v=5aCYQ1fRQc8","e9f99cad63af09125c1a46fddc7d4d2ec53267514bfdd5ddba1e1ec3c89f708f","EPMD - Strictly Business (Official Music Video)",""
"327","Dior 2001","RIN","2018.0","https://www.youtube.com/watch?v=VmEWlKLbBF4","1ffc9987e34e73b73f65b9f56ff6396bd314bec0ff195e446047cca8a42e7d3a","RIN - Dior 2001 (prod. Alexis Troy)",""
"328","Ja klar - 1822 Radio Edit","Schwester S.,Sabrina Setlur,Moses Pelham,Rödelheim Hartreim Projekt","1995.0","https://www.youtube.com/watch?v=3I7JOglOqtM","b5b2ec18178f6ec82e6098f9e23d2c528bec9e65d2242d8cdb82e39b7096a812","Ja klar (1822 Radio Edit)",""
"329","You Got Me","The Roots,Tariq Trotter,Erykah Badu,Eve","1999.0","https://www.youtube.com/watch?v=MJCHeEQV454","52db2420fed6a1e06d7759b7a97eb6b671fe4f4b8540de532c522d3335969879","The Roots - You Got Me ft. Erykah Badu",""
"330","Ayo Technology","50 Cent,Justin Timberlake,Timbaland","2007.0","https://www.youtube.com/watch?v=5RDSkR8_AQ0","b3150cf9844f69c7fdc3479ca816f367c6676eb0b16bee8067bbe0d89a50df62","50 Cent - Ayo Technology (Official Music Video) ft. Justin Timberlake",""
"331","Sie ist weg","Die Fantastischen Vier","1995.0","https://www.youtube.com/watch?v=3vP2T9nTZtw","32bc205572bee6addeb6ab175880d40c573da5e9b8349a9cc9e52d3e08c40b0a","Die Fantastischen Vier - Sie Ist Weg (Offizielles Musikvideo)",""
"332","Live Your Life","T.I.,Rihanna","2008.0","https://www.youtube.com/watch?v=koVHN6eO4Xg","163d9e605e11ab4fa49ab496c34c2f3011929863c8699013aabc9b95702dc7bd","T.I. - Live Your Life ft. Rihanna [Official Video]",""
"333","Flava in Ya Ear","Craig Mack","1994.0","https://www.youtube.com/watch?v=3K1izELqR_Q","ca882749c9281374c4da13a3ed2cbec42b500817677059dae0ec9a1b06e731b1","Craig Mack - Flava In Ya Ear (Official Video) [Explicit]",""
"334","Paint The Town Red","Doja Cat","2023.0","https://www.youtube.com/watch?v=m4_9TFeMfJE","5dd794d117fe75331f79b13cc7766166acd05004f9b7d7413014265899efdce8","Doja Cat - Paint The Town Red (Official Video)",""
"335","rockstar (feat. 21 Savage)","Post Malone,21 Savage","2017.0","https://www.youtube.com/watch?v=UceaB4D0jpo","52c98706a4444f0e0a08b5a5b13a11a40806a440db13925e4d5f1a1d3c255688","rockstar (unofficial video)",""
"336","ROCKSTAR (feat. Roddy Ricch)","DaBaby,Roddy Ricch","2020.0","https://www.youtube.com/watch?v=mxFstYSbBmc","133f3128660be0893cc0bf41994c90c9f467e45e0d910523d381860e5cf0679d","DaBaby - Rockstar feat. Roddy Ricch [Official Music Video]",""
"337","Big Poppa - 2005 Remaster","The Notorious B.I.G.","1994.0","https://www.youtube.com/watch?v=phaJXp_zMYM","daa1cf141e4fd972803a9acc239d49832266b78988e64d14927d423e8d752a78","The Notorious B.I.G. - Big Poppa (Official Music Video)",""
"338","X Gon' Give It To Ya","DMX","2003.0","https://www.youtube.com/watch?v=fGx6K90TmCI","830ad714f499fe7561085c1e320f55ce83719612de5c19a1b9c0d65b8447a99c","DMX - X Gon' Give It To Ya",""
"339","She Will","Lil Wayne,Drake","2011.0","https://www.youtube.com/watch?v=Fw3H8R5hHEY","6d0fe37409032aed78b9fba37212bd30312bd6184565e1d64c5bc29472f0ee96","She Will",""
"340","Always On Time","Ja Rule,Ashanti","2001.0","https://www.youtube.com/watch?v=0tcDXJfAFVw","fcd2ccf6d411b436eeea2ced37b6d7539392c74ef55b1d6a2bdf99058ec5027b","Ja Rule - Always On Time ft. Ashanti",""
"341","Heute mit mir","Nimo","2017.0","https://www.youtube.com/watch?v=p-AWcCCbBHw","f0eae132ab505960cbd7ce6b7b9aa0e025100fb3e1fb3928c5dba6abf9812855","Heute mit mir",""
