Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Let's Get It On,Marvin Gaye,1973,https://www.youtube.com/watch?v=AqPBfbLoF_M,9ae9e1a2cfb93529802d309238ed03bd1ba086dbbeab1fe18fd405c456323826,Marvin Gaye - Let's Get It On (Official Music Video),
2,"Saufen, morgens, mittags, abends",Ingo ohne Flamingo,2017,https://www.youtube.com/watch?v=PP9I6WRD4VI,07c0c7fa525dc29ce5f629c7a53155726978a96d2f063ec1d0c249dfc5982fc8,"Saufen, morgens, mittags, abends - der Party - Hit",
3,Boy With Luv,BTS feat. Halsey,2019,https://www.youtube.com/watch?v=XsX3ATc3FbA,0c0d90c3fa6f7cbc4ee22f939bb8aa44030c0e9c775165910ef248df72e72887,BTS (?????) '?? ??? ?? ? (Boy With Luv) (feat. Halsey)' Official MV,
4,DJ Got Us Fallin' In Love,USHER feat. Pitbull,2010,https://www.youtube.com/watch?v=C-dvTjK_07c,973be1bd5ae5a7c1a9ad5236b336519a6a6db0de2d8854c052f4121384e6479b,Usher - DJ Got Us Fallin' In Love (Official Video) ft. Pitbull,
5,Smack That,Akon feat. Eminem,2009,https://www.youtube.com/watch?v=bKDdT_nyP54,8a944bef939867902b70366175674f996dbca536df5e1c3aa4e5be1309318c59,Akon - Smack That (Official Music Video) ft. Eminem,
6,National Anthem of the USSR,Alexander W. Alexandrow,1938,https://www.youtube.com/watch?v=U06jlgpMtQs,24e0e940a79dd727df5a8f1f71d642e879b0ff318f00ed470eb015d6513421ea,National Anthem of USSR,
7,NFL Theme Song,Phil Garrod,1991,https://www.youtube.com/watch?v=0RHFcBJja_Q,ce490d1d060886adf61861da0c8fdf9e1ad4a2c695b4c61e508fe9d401f263db,FOX Sunday NFL Theme Song in HD,
8,End of Beginning,Djo,2022,https://www.youtube.com/watch?v=xy3AcmW0lrQ,77aafc9aabeb0e8c29bf3daf2e67ce470086311d670ee505f5fd70a83d4dc070,Djo - End Of Beginning (Official Audio),
9,069,Haftbefehl,2015,https://www.youtube.com/watch?v=rNhfieU2Xt8,ca0acf8d49f86bf5396573583bfaca41e0987f39757b3327fc62c38f2ef087ea,Haftbefehl - 069 (prod. by BAZZAZIAN) [Official Video],
10,Afrojack,Because I Got High,2001,https://www.youtube.com/watch?v=Ls4qXjZtZXI,385d2f5d44507bf5551cf861c5961a9c75bafe177b9c8620fbdc214f0ba43b5a,Afroman - Because I got High (Explicit Version),
11,Better Now,Post Malone,2018,https://www.youtube.com/watch?v=UYwF-jdcVjY,ced79a10aa63120f48d16cc7a54a5366d035e95b8e1c53caf9e73e8a686395e0,Post Malone - Better Now,
12,BIRDS OF A FEATHER,Billie Eilish,2024,https://www.youtube.com/watch?v=V9PVRfjEBTI,76a7744c736e74e23856abd94068c4b2f262feec7824e465f11ff820e6fa0ad9,Billie Eilish - BIRDS OF A FEATHER (Official Music Video),
13,Self Care,Mac Miller,2018,https://www.youtube.com/watch?v=SsKT0s5J8ko,faa1ed2c2d58125d2969c7bafe77ee92687c6390319d88b2ec1156dab0adcab9,Mac Miller - Self Care,
14,Bruttosozialprodukt,Geier Sturzflug,1993,https://www.youtube.com/watch?v=Zm8dk7SfV1E,8f1953114b36648f2918bc59444e9d5b3e4b91e5c179cd6a8029a73a1f1ff693,Bruttosozialprodukt,
15,Alles nur geklaut,Die Prinzen,1993,https://www.youtube.com/watch?v=yMR45cZbvDw,019f21e7f69f91b093c3d5e093b8392576670ecd2cc9ea6481be9f3a9d5342cf,Die Prinzen - Alles nur geklaut (Offizielles Musikvideo),
16,Fly Me To The Moon (In Other Words),Frank Sinatra & Count Basie,1962,https://www.youtube.com/watch?v=JYuyWrkwpok,877a499bd8886ec4e6aa740671b3f36f5cec62108d01d23ec3cc2a573b8490a5,Frank Sinatra - Fly Me To The Moon (Audio) ft. Count Basie And His Orchestra,
17,Schlechtes Vorbild,Sido,2006,https://www.youtube.com/watch?v=9jjvlT78pU4,924f93ed65cd5e20b00f32b4dc2fbf1f431d84894ec6bc502ab8884bc83bde2e,SIDO - SCHLECHTES VORBILD (OFFICIAL HD VERSION AGGRO BERLIN),
18,Fick ihn doch,Alligatoah,2014,https://www.youtube.com/watch?v=Cf27Q2bfftQ,228cf461307e893a51bfca1bcab6d8d0ad36fcf21ddf4d0d1ba409f70a01c6a2,Alligatoah - Fick ihn doch (Official Video Zensiert),
19,I Fall In Love Too Easily,Chet Baker,1956,https://www.youtube.com/watch?v=3zrSoHgAAWo,08211676af062152bf84eab3a018ba85a6c6ddb50222af451f86b39ef824e162,Chet Baker - I fall in love too easily,
20,Walkin' After Midnight,Patsy Cline,1957,https://www.youtube.com/watch?v=bsRNCvHXHHU,09630c2bd35db54ee3b3e91ee47849ece0d33b53925056ad8c2dd9c14c96782d,Patsy Cline-Walkin' After Midnight,
21,"Hey, Good Lookin",Hank Williams,1951,https://www.youtube.com/watch?v=bjCoKslQOEs,ccc04410b5b4348b6eac9222c6c6a1cc4d9a3f8a07ce1c26d5b0be785e4c71de,Hank Williams - Hey Good Lookin',
22,I Don't Want To Set The World On Fire,The Ink Spots,1998,https://www.youtube.com/watch?v=TmIwm5RElRs,59e1e201d8e100cd3a6e24e0cdb79dde2cae2a28af763fe3bda26a80906e6a92,I Don't Want to Set the World on Fire,
23,Chattanooga Choo Choo,Glenn Miller,1941,https://www.youtube.com/watch?v=QGZ6jigic_I,ab27bd2719bc3b86c6ed309df10c33f5ba7a2e8beb9fa72e8b753e0cd9fd0c4d,Chattanooga Choo-Choo,
24,Never Gonna Hit Those Notes,Rick Astley,2015,https://www.youtube.com/watch?v=lXMskKTw3Bc,fc61ddf54e33f6fa4a3f758354df03c91a1374c7d3ced86a99df216d11fa9fd7,Never Gonna Hit Those Notes,
25,Sunny,Boney M.,1976,https://www.youtube.com/watch?v=ghGiv7YLC7Q,77a6abc607518773b387a9d1c5af47a1d42ccf60e5475bda9df6a5d0eca631ac,Boney M. - Sunny (Official Audio),
26,Copacabana (At the Copa),Barry Manilow,1978,https://www.youtube.com/watch?v=WJEhnaez1w4,d0faaa2edb2650eb20db75abad5745757ac5987341da11b74a255c1a6f5de6fb,Barry Manilow - Her name was Lola (Copacabana) (Lyrics),
27,You Don't Own Me,Lesley Gore,1963,https://www.youtube.com/watch?v=OYB1rbL8EHo,983e8aa7194e87a3a215468237bd89abf834325960c12acedb96c0257614756e,Lesley Gore - You Don't Own Me (Official Audio),
